,Tags,Date,Image URL,Lat,Long,Object,Material,Brand,Other,Brand_id
0,"lid, plastic, karat",2021-02-06 01:23:49+00:00,https://media.litterati.org/2021/06/02/225427-1622597822260.jpg,34.1580106783976,-118.089063428452,lid, plastic, karat,,0
1,"wetwipe, plastic",2021-02-06 01:23:28+00:00,https://media.litterati.org/2021/06/02/225427-1622597833707.jpg,34.157979832994,-118.089029817021,wetwipe, plastic,,,1
2,"miscellaneous, plastic",2021-02-06 01:22:13+00:00,https://media.litterati.org/2021/06/02/225427-1622596943538.jpg,34.1582074854841,-118.08926442649,miscellaneous, plastic,,,1
3,"cigarettebutt, celluloseacetate",2021-02-06 01:21:25+00:00,https://media.litterati.org/2021/06/02/225427-1622596894244.jpg,34.1584258340617,-118.089138027391,cigarettebutt, celluloseacetate,,,1
4,"carlsjr, bag, plastic",2021-02-06 01:19:19+00:00,https://media.litterati.org/2021/06/02/225427-1622597867352.jpg,34.1586244013479,-118.08856328029,carlsjr, bag, plastic,,2
5,"cigarettebutt, celluloseacetate",2021-02-06 01:18:08+00:00,https://media.litterati.org/2021/06/02/225427-1622596697428.jpg,34.1590475617295,-118.088297657779,cigarettebutt, celluloseacetate,,,1
6,"plastic, wrapper",2021-02-06 01:17:46+00:00,https://media.litterati.org/2021/06/02/225427-1622597900682.jpg,34.1589571376507,-118.088569759933,plastic, wrapper,,,1
7,"polystyrene, packingpeanut",2021-02-06 01:16:55+00:00,https://media.litterati.org/2021/06/02/225427-1622597913517.jpg,34.1587510099953,-118.088444927817,polystyrene, packingpeanut,,,1
8,"plastic, partypopper",2021-02-06 01:16:32+00:00,https://media.litterati.org/2021/06/02/225427-1622597929502.jpg,34.1588349547555,-118.08853562001,plastic, partypopper,,,1
9,"plastic, bag",2021-02-06 01:14:20+00:00,https://media.litterati.org/2021/06/02/225427-1622597960298.jpg,34.1591268545335,-118.088514413795,plastic, bag,,,1
10,"wrapper, plastic",2021-02-06 01:14:12+00:00,https://media.litterati.org/2021/06/02/225427-1622597975221.jpg,34.1590514058417,-118.088687999382,wrapper, plastic,,,1
11,"miscellaneous, glass",2021-02-06 01:13:53+00:00,https://media.litterati.org/2021/06/02/225427-1622596473457.jpg,34.159091147626,-118.088613990804,miscellaneous, glass,,,1
12,"miscellaneous, glass",2021-02-06 01:13:43+00:00,https://media.litterati.org/2021/06/02/225427-1622597998083.jpg,34.159076688843,-118.088646931684,miscellaneous, glass,,,1
13,"miscellaneous, ceramic",2021-02-06 01:13:29+00:00,https://media.litterati.org/2021/06/02/225427-1622596417847.jpg,34.1585673736814,-118.089099473065,miscellaneous, ceramic,,,1
14,"wrapper, plastic",2021-02-06 01:13:08+00:00,https://media.litterati.org/2021/06/02/225427-1622596420778.jpg,34.1591242561435,-118.088674340507,wrapper, plastic,,,1
15,"miscellaneous, paper",2021-02-06 01:12:29+00:00,https://media.litterati.org/2021/06/02/225427-1622596418158.jpg,34.1590667981973,-118.088687835371,miscellaneous, paper,,,1
16,"cigarettebutt, celluloseacetate",2021-02-06 01:10:05+00:00,https://media.litterati.org/2021/06/02/225427-1622596226588.jpg,34.1590636968931,-118.088864861166,cigarettebutt, celluloseacetate,,,1
17,"cigarettebutt, celluloseacetate",2021-02-06 01:09:16+00:00,https://media.litterati.org/2021/06/02/225427-1622596226646.jpg,34.1591771459525,-118.088731756544,cigarettebutt, celluloseacetate,,,1
18,"cigarettebutt, celluloseacetate",2021-02-06 01:09:05+00:00,https://media.litterati.org/2021/06/02/225427-1622596226335.jpg,34.1591808339899,-118.088778611383,cigarettebutt, celluloseacetate,,,1
19,"napkins, paper",2021-02-06 01:08:01+00:00,https://media.litterati.org/2021/06/02/225427-1622596101875.jpg,34.1592803690901,-118.08866369549,napkins, paper,,,1
20,"bottlecap, plastic",2021-02-06 01:07:54+00:00,https://media.litterati.org/2021/06/02/225427-1622596101539.jpg,34.1592728672867,-118.088675681612,bottlecap, plastic,,,1
