,object,amount
0,cigarettebutt,282
1,wrapper,149
3,bottlecap,66
5,label,37
6,smallpieces,36
7,napkins,31
9,bag,23
10,packet,17
13,straw,14
14,lid,14
15,facemask,12
16,bottle,12
17,wetwipe,11
18,balloon,10
19,dart,8
20,receipt,8
21,aluminum,8
22,container,8
23,lighter,7
24,pulltab,7
25,ziplock,6
26,cigarettepack,6
27,strip,6
28,string,5
29,glove,5
30,cover,5
31,piece,5
32,flag,4
33,can,4
35,package,3
37,bottlering,3
39,sock,3
40,hairtie,3
41,bandaid,2
42,tag,2
45,camel,2
46,cup,2
47,cottonswab,2
48,vapejuice,2
49,pipe,2
50,stirrer,2
51,utensil,2
52,tire,2
53,sticker,2
54,hose,2
55,ticket,2
56,carpart,2
57,cutlery,2
58,bb,2
59,strawcover,2
61,clothing,2
62,card,2
63,headlight,2
64,computerpart,1
65,gluestick,1
66,tin,1
68,balloonpiece,1
69,partypopper,1
70,strawrapper,1
71,electricaltape,1
72,diaper,1
74,gumwrapper,1
75,lollipopstick,1
76,chocolatewrapper,1
77,plate,1
78,underwear,1
79,nut,1
81,razor,1
82,box,1
83,bolt,1
84,drinkcarton,1
85,manual,1
86,pizza,1
88,shoelace,1
90,westcoastcure,1
91,shard,1
92,baseball,1
93,butterfinger,1
94,strawwrapper,1
95,cantop,1
96,battery,1
97,tissue,1
98,polystyrene,1
99,pacifier,1
100,stickynote,1
101,zipper,1
102,marlboro,1
103,bong,1
104,subway,1
105,chewinggum,1
106,hook,1
107,tennisball,1
108,nerf,1
109,ball,1
110,tube,1
111,matches,1
112,anastasiabeverlyhills,1
113,treetie,1
114,pen,1
115,carlsjr,1
116,diament,1
117,confetti,1
118,glacier,1
119,ribbon,1
121,solo,1
122,cautiontape,1
123,tiewrap,1
125,candle,1
126,modelo,1
127,polypropylene,1
128,slimjim,1
129,ornament,1
131,nestle,1
132,eraser,1
133,lollywrapper,1
134,filter,1
137,drinkpouch,1
138,mascara,1
141,ziptie,1
